zipcode,zone,trange,zonetitle
20101,7a,0 to 5,7a: 0 to 5
20105,7a,0 to 5,7a: 0 to 5
20109,7a,0 to 5,7a: 0 to 5
20110,7a,0 to 5,7a: 0 to 5
20120,7a,0 to 5,7a: 0 to 5
20121,7a,0 to 5,7a: 0 to 5
20124,7b,5 to 10,7b: 5 to 10
20151,7a,0 to 5,7a: 0 to 5
20152,7a,0 to 5,7a: 0 to 5
20170,7a,0 to 5,7a: 0 to 5
20171,7a,0 to 5,7a: 0 to 5
22003,7b,5 to 10,7b: 5 to 10
22030,7b,5 to 10,7b: 5 to 10
22031,7b,5 to 10,7b: 5 to 10
22041,7b,5 to 10,7b: 5 to 10
22042,7b,5 to 10,7b: 5 to 10
22043,7b,5 to 10,7b: 5 to 10
22101,7b,5 to 10,7b: 5 to 10
22102,7b,5 to 10,7b: 5 to 10
22182,7b,5 to 10,7b: 5 to 10
